timestamp	iteration	action	url_or_query	result_count	notes
2026-04-17T13:10:17Z	S1	1A	https://www.linkedin.com/search/results/people/?network=%5B%22F%22%5D&geoUrn=%5B%22101452733%22%5D&titleFreeText=CEO&origin=FACETED_SEARCH	10	real_hits=10 kept=6 dropped=4 dups=0
2026-04-17T13:10:17Z	S1	1A	https://www.linkedin.com/search/results/people/?network=%5B%22F%22%5D&geoUrn=%5B%22105490917%22%5D&titleFreeText=CEO&origin=FACETED_SEARCH	8	real_hits=8 kept=4 dropped=4 dups=0
2026-04-17T13:10:17Z	S1	1A	https://www.linkedin.com/search/results/people/?network=%5B%22F%22%5D&geoUrn=%5B%22101452733%22%5D&titleFreeText=Chief+Financial+Officer&origin=FACETED_SEARCH	10	real_hits=10 kept=0 dropped=0 dups=10
2026-04-17T13:10:17Z	S1	1A	https://www.linkedin.com/search/results/people/?network=%5B%22F%22%5D&geoUrn=%5B%22105490917%22%5D&titleFreeText=Chief+Financial+Officer&origin=FACETED_SEARCH	8	real_hits=8 kept=0 dropped=0 dups=8
2026-04-17T13:10:17Z	S1	1A	https://www.linkedin.com/search/results/people/?network=%5B%22F%22%5D&geoUrn=%5B%22101452733%22%5D&titleFreeText=Chief+Information+Officer&origin=FACETED_SEARCH	10	real_hits=10 kept=0 dropped=0 dups=10
2026-04-17T13:10:17Z	S1	1A	https://www.linkedin.com/search/results/people/?network=%5B%22F%22%5D&geoUrn=%5B%22105490917%22%5D&titleFreeText=Chief+Information+Officer&origin=FACETED_SEARCH	8	real_hits=8 kept=0 dropped=0 dups=8
2026-04-17T13:10:17Z	S1	1A	https://www.linkedin.com/search/results/people/?network=%5B%22F%22%5D&geoUrn=%5B%22101452733%22%5D&titleFreeText=Managing+Director&origin=FACETED_SEARCH	10	real_hits=10 kept=0 dropped=0 dups=10
2026-04-17T13:10:17Z	S1	1A	https://www.linkedin.com/search/results/people/?network=%5B%22F%22%5D&geoUrn=%5B%22105490917%22%5D&titleFreeText=Managing+Director&origin=FACETED_SEARCH	8	real_hits=8 kept=0 dropped=0 dups=8
2026-04-17T13:10:17Z	S1	1A	https://www.linkedin.com/search/results/people/?network=%5B%22F%22%5D&geoUrn=%5B%22101452733%22%5D&titleFreeText=Founder&origin=FACETED_SEARCH	10	real_hits=10 kept=0 dropped=0 dups=10
2026-04-17T13:10:17Z	S1	1A	https://www.linkedin.com/search/results/people/?network=%5B%22F%22%5D&geoUrn=%5B%22105490917%22%5D&titleFreeText=Founder&origin=FACETED_SEARCH	8	real_hits=8 kept=0 dropped=0 dups=8
