file	nowhere	conf	surp	surp45	int	false	unsup	sender	sent	words
ltr-425312	5	0.74	1.95	3	2.53	1	2	4	19	287
ltr-590959	3	0.56	1.81	1	2.63	2	2	3	16	287
ltr-339622	3	0.50	1.80	2	2.45	1	2	3	20	249
ltr-460990	3	0.67	1.80	2	2.60	2	1	3	15	226
ltr-255299	4	0.50	1.78	2	2.50	1	2	3	18	248
ltr-780760	3	0.44	1.75	1	2.81	1	2	3	16	247
ltr-452000	4	0.47	1.74	1	2.68	1	2	4	19	295
ltr-680958	2	0.41	1.73	2	2.59	0	2	3	22	267
ltr-622030	2	0.50	1.69	1	2.63	0	2	3	16	269
ltr-640597	2	0.56	1.69	1	2.63	0	2	3	16	269
ltr-898259	1	0.44	1.69	1	2.69	2	1	3	16	252
ltr-444607	4	0.40	1.65	2	2.80	0	1	3	20	276
ltr-567776	2	0.30	1.65	0	2.95	2	1	3	20	328
ltr-310008	3	0.50	1.64	2	2.86	2	2	4	22	306
ltr-572018	3	0.41	1.64	2	2.77	0	1	3	22	285
ltr-720121	4	0.27	1.64	0	2.73	1	1	3	22	350
ltr-297320	2	0.54	1.63	2	2.79	2	2	5	24	346
ltr-543714	5	0.42	1.63	0	2.74	1	1	2	19	330
ltr-432114	2	0.30	1.60	0	3.00	2	0	3	20	279
ltr-674891	1	0.35	1.59	1	2.76	1	1	3	17	270
ltr-621701	3	0.50	1.58	0	2.67	1	0	1	12	164
ltr-085329	3	0.32	1.56	0	2.96	1	1	4	25	340
ltr-099628	3	0.38	1.56	1	2.69	1	1	3	16	227
ltr-798187	2	0.38	1.54	1	2.69	1	1	2	13	169
ltr-260840	2	0.24	1.53	0	2.76	2	1	3	17	253
ltr-706078	3	0.40	1.53	1	2.73	1	2	2	15	208
ltr-832824	2	0.20	1.53	0	2.73	2	1	3	15	200
ltr-262715	3	0.24	1.52	0	2.96	2	1	3	25	381
ltr-858640	4	0.33	1.48	0	2.95	1	1	2	21	291
ltr-165283	5	0.47	1.47	1	2.95	2	1	1	19	297
ltr-271252	5	0.47	1.47	1	2.95	2	1	1	19	296
ltr-755528	3	0.31	1.44	0	2.69	1	1	2	16	223
ltr-496147	3	0.29	1.43	0	2.71	1	1	2	14	217
ltr-758399	2	0.25	1.42	0	2.92	1	0	1	12	157
ltr-062622	4	0.24	1.41	0	2.94	3	0	2	17	289
ltr-030387	3	0.27	1.40	0	2.73	1	1	2	15	238
ltr-845148	5	0.46	1.38	0	2.77	1	2	1	13	206
ltr-972773	5	0.38	1.38	0	2.94	1	1	2	16	252
ltr-789245	3	0.36	1.36	0	2.79	1	0	1	14	215
ltr-863465	3	0.36	1.36	0	2.79	1	0	1	14	218
ltr-613808	6	0.45	1.35	0	2.95	1	1	1	20	278
ltr-015501	3	0.33	1.33	0	2.75	1	1	1	12	218
ltr-070331	5	0.47	1.33	0	2.73	1	0	2	15	242
ltr-263598	4	0.44	1.33	0	2.94	1	0	1	18	280
ltr-197176	1	0.15	1.30	0	2.90	0	1	2	20	282
ltr-224814	3	0.30	1.30	0	3.00	1	1	1	10	166
ltr-252665	3	0.43	1.29	0	2.86	1	1	1	14	225
ltr-875569	2	0.29	1.29	0	2.79	0	1	1	14	248
ltr-542857	2	0.31	1.23	0	2.77	2	0	1	13	218
ltr-596347	2	0.31	1.23	0	2.77	2	0	1	13	203
ltr-647357	3	0.20	1.20	0	2.80	1	0	0	10	188
ltr-043892	2	0.27	1.18	0	2.82	1	0	0	11	194
ltr-892257	4	0.33	1.17	0	2.92	0	0	0	12	228
ltr-585916	3	0.27	1.09	0	3.00	1	0	0	11	213
ltr-560216	2	0.20	1.30	0	2.70	1	1	1	10	155
