Belgenny Farm	au-nz-ca-census	offer_without_detail
Bidgee Strawberries and Cream	au-nz-ca-census	activity_list_no_timings
Bilpin Fruit Bowl	au-nz-ca-census	no_school_offer
Blackwattle Alpacas	au-nz-ca-census	timed_programme
Buckley Park Community Farm	au-nz-ca-census	no_school_offer
Camp Coolamatong (Farm Camp)	au-nz-ca-census	activity_list_no_timings
Candlebark Farm	au-nz-ca-census	timed_programme
Carinya Station	au-nz-ca-census	no_school_offer
Carramar	au-nz-ca-census	activity_list_no_timings
Caversham Wildlife Park (includes Molly's Farm working-farm show)	au-nz-ca-census	timed_programme
Chesterfield Farm	au-nz-ca-census	timed_programme
Collingwood Children's Farm	au-nz-ca-census	timed_programme
Edendale Community Environment Farm	au-nz-ca-census	timed_programme
Elouera Vale (camel farm)	au-nz-ca-census	no_school_offer
Forest Lodge Farm	au-nz-ca-census	activity_list_no_timings
Gavana Holsteins	au-nz-ca-census	activity_list_no_timings
Golden Ridge Animal Farm	au-nz-ca-census	activity_list_no_timings
Green Connect Farm	au-nz-ca-census	timed_programme
Harvest Farms	au-nz-ca-census	timed_programme
Hillside Harvest	au-nz-ca-census	no_school_offer
Hollycott Farm	au-nz-ca-census	unreachable
Homegrown Organics	au-nz-ca-census	activity_list_no_timings
Iris Lodge Alpacas	au-nz-ca-census	activity_list_no_timings
Little Star Bee Sanctuary	au-nz-ca-census	offer_without_detail
Maru Koala and Animal Park	au-nz-ca-census	timed_programme
Myuna Farm	au-nz-ca-census	timed_programme
Northey Street City Farm	au-nz-ca-census	timed_programme
Paradise Country (Australian farm experience park)	au-nz-ca-census	offer_without_detail
Perth City Farm	au-nz-ca-census	timed_programme
Windy Station & Woolshed	au-nz-ca-census	activity_list_no_timings
Green Thumb Farm	seq-comparator	timed_programme
QCamel	seq-comparator	offer_without_activity_detail
Summer Land Camels	seq-comparator	timed_programme
The Ginger Factory	seq-comparator	timed_programme
Thunderbird Park	seq-comparator	no_school_offer
Trevena Glen Farm	seq-comparator	timed_programme
White Ridge Farm	seq-comparator	offer_without_activity_detail
Australia Zoo	qld-supplementary	activity_list_no_timings
Beenleigh Historical Village and Museum	qld-supplementary	offer_without_activity_detail
Bestbrook Mountain Resort	qld-supplementary	activity_list_no_timings
Billabong Sanctuary	qld-supplementary	timed_programme
Currumbin Wildlife Sanctuary	qld-supplementary	timed_programme
David Fleay Wildlife Park	qld-supplementary	timed_programme
Drayhorse Shire Horse Farm	qld-supplementary	no_school_offer
Highfields Pioneer Village	qld-supplementary	activity_list_no_timings
Ipswich Nature Centre	qld-supplementary	offer_without_activity_detail
Kur-Cow Barnwell Farm	qld-supplementary	activity_list_no_timings
Lone Pine Koala Sanctuary	qld-supplementary	timed_programme
Maleny Botanic Gardens & Bird World	qld-supplementary	activity_list_no_timings
Rainforestation Nature Park	qld-supplementary	timed_programme
Rockhampton Zoo	qld-supplementary	activity_list_no_timings
Sarina Sugar Shed	qld-supplementary	timed_programme
Sea World	qld-supplementary	timed_programme
Splitters Farm	qld-supplementary	timed_programme
Tommerup's Dairy Farm	qld-supplementary	timed_programme
Wildlife HQ Zoo	qld-supplementary	no_school_offer
