australia-zoo.md	yes
beenleigh-historical-village-and-museum.md	yes
belgenny-farm.md	no
bestbrook-mountain-resort.md	yes
bidgee-strawberries-and-cream.md	no
billabong-sanctuary.md	yes
bilpin-fruit-bowl.md	no
blackwattle-alpacas.md	no
buckley-park-community-farm.md	no
camp-coolamatong.md	no
candlebark-farm.md	no
carinya-station.md	no
carramar.md	no
caversham-wildlife-park.md	no
chesterfield-farm.md	no
collingwood-childrens-farm.md	no
currumbin-wildlife-sanctuary.md	yes
david-fleay-wildlife-park.md	yes
drayhorse-shire-horse-farm.md	yes
edendale-community-environment-farm.md	no
elouera-vale-camel-farm.md	no
forest-lodge-farm.md	no
gavana-holsteins.md	no
golden-ridge-animal-farm.md	no
green-connect-farm.md	no
green-thumb-farm.md	yes
harvest-farms.md	no
highfields-pioneer-village.md	yes
hillside-harvest.md	no
hollycott-farm.md	no
homegrown-organics.md	no
ipswich-nature-centre.md	yes
iris-lodge-alpacas.md	no
kur-cow-barnwell-farm.md	yes
little-star-bee-sanctuary.md	no
lone-pine-koala-sanctuary.md	yes
maleny-botanic-gardens-and-bird-world.md	yes
maru-koala-and-animal-park.md	no
myuna-farm.md	no
northey-street-city-farm.md	yes
paradise-country.md	yes
perth-city-farm.md	no
qcamel.md	yes
rainforestation-nature-park.md	yes
rockhampton-zoo.md	yes
sarina-sugar-shed.md	yes
sea-world.md	yes
splitters-farm.md	yes
summer-land-camels.md	yes
the-ginger-factory.md	yes
thunderbird-park.md	yes
tommerups-dairy-farm.md	yes
trevena-glen-farm.md	yes
white-ridge-farm.md	yes
wildlife-hq-zoo.md	yes
windy-station-woolshed.md	no
